3.9584,0.1193,1.2446,2.4743,6.1086,11.447
4.0212,0.11333,1.1504,2.3236,5.8992,10.834
4.0841,0.10832,1.1077,2.2521,5.5352,10.696
4.1469,0.10434,1.0723,2.1606,5.4366,10.014
4.2097,0.10036,1.0421,2.083,5.2136,9.824
4.2726,0.09768,1.0164,2.025,5.058,9.4058
4.3354,0.094619,0.97631,1.9552,4.9421,9.258
4.3982,0.093142,0.96687,1.955,4.8149,9.0682
4.4611,0.093056,0.95412,1.9176,4.7564,8.9231
4.5239,0.091609,0.93899,1.8936,4.6877,8.7354
4.5867,0.089967,0.92727,1.8672,4.6108,8.7474
4.6496,0.089994,0.92736,1.8592,4.6381,8.7128
4.7124,0.089965,0.91875,1.8727,4.6248,8.6631
4.7752,0.089173,0.92744,1.8584,4.6365,8.6831
4.8381,0.090162,0.93512,1.8875,4.6555,8.8051
4.9009,0.090346,0.94276,1.8962,4.6733,8.7958
4.9637,0.091403,0.95015,1.9174,4.7081,8.9075
5.0265,0.092871,0.96707,1.9468,4.8381,8.9606
5.0894,0.096208,0.98417,2.0011,4.9269,9.2432
5.1522,0.099068,1.0145,2.016,5.0868,9.4912
5.215,0.1006,1.0427,2.0843,5.2206,9.6376
5.2779,0.10541,1.0734,2.1684,5.3402,10.257
5.3407,0.10651,1.1134,2.2398,5.5599,10.371
5.4035,0.11269,1.162,2.3408,5.7703,10.994
5.4664,0.11852,1.2285,2.4858,6.2478,11.742
5.5292,0.1276,1.2966,2.6115,6.4319,12.369
5.592,0.13277,1.3656,2.7578,6.8925,13.198
5.6549,0.14331,1.4943,3.0582,7.5255,14.161
5.7177,0.15697,1.6488,3.2752,8.1126,15.699
5.7805,0.17639,1.821,3.5653,8.8493,17.113
5.8434,0.19269,2.0258,4.0826,10.167,19.526
5.9062,0.22331,2.3431,4.6922,11.609,21.893
5.969,0.26607,2.7414,5.5286,13.624,24.298
6.0319,0.33132,3.3647,6.6892,16.815,29.763
6.0947,0.44172,4.5092,8.9979,21.252,32.391
6.1575,0.62919,6.7739,13.672,28.807,35.968
6.2204,1.2997,13.037,24.883,37.06,37.952
6.2832,39.435,38.615,40.264,39.835,38.647
