t,sigma12,sigma23,sigma31
0.00227,0.380257141928735,0.88459932602939,0.269978773981472
0.00228,0.382428277233893,0.882818231165101,0.272728039435698
0.00229,0.380287679696554,0.884584311522766,0.269984956023118
0.0023,0.382430136028623,0.882818209634882,0.272725502647243
0.00231,0.38028511465989,0.884588598878527,0.269974521579795
0.00232,0.382384044338626,0.88285329899792,0.27267653929835
0.00233,0.380280968407286,0.884590637627602,0.269973681844748
0.00234,0.38237392643417,0.882853415627409,0.272690349844533
0.00235,0.380290553982821,0.884574620258688,0.270012658491481
0.00236,0.382448815246231,0.882796404193531,0.272769889210166
0.00237,0.380321090837706,0.884559604296101,0.270018840660319
